status,weather,frecventa_hz,tensiune_kv,flux_intrare_mw,flux_iesire_mw,timestamp,station_id,nivel_severitate
1,0,50.0036,399.29,504,479.84,0,BUC,0
1,0,50.0042,399.98,506,488.76,0,CLJ,0
1,0,49.9998,399.64,500,478.0,0,SUC,0
1,0,49.9928,399.89,514,494.44,0,CST,0
1,0,50.0012,399.86,504,479.84,0,TMS,0
1,0,49.9985,400.26,495,473.2,0,PLO,0
1,0,49.9949,399.29,506,481.76,0,CRV,0
1,0,49.9948,399.95,498,481.08,0,BRL,0
1,0,50.0079,399.75,493,473.28,0,BIS,0
1,0,50.0067,400.77,486,467.56,0,ORD,0
1,0,49.9918,399.78,491,475.36,0,PIT,0
1,0,49.9988,399.86,505,479.8,0,BCU,0
1,0,50.0047,400.1,491,466.36,0,SLT,0
1,0,49.9978,400.49,504,482.84,0,DRO,0
1,0,49.9985,399.69,486,469.56,0,CAL,0
1,0,49.9996,399.25,486,462.56,0,GAL,0
1,0,50.0026,399.17,504,481.84,0,SBU,0
1,0,50.0013,400.92,497,474.12,0,TGM,0
1,0,49.9942,399.08,494,476.24,0,CRN,0
1,0,50.0039,399.12,501,475.96,0,PFR,0
1,0,50.0085,399.44,489,465.44,0,VID,0
1,0,50.0023,399.61,489,464.44,0,BCN,0
1,0,49.9935,400.68,492,470.32,0,BRZ,0
1,0,50.0015,399.95,506,489.76,0,ISN,0
1,0,50.0064,400.87,496,471.16,0,TRC,0
1,0,49.995,399.82,492,475.32,0,ARD,0
1,0,49.9932,399.87,507,489.72,0,IAS,0
1,0,49.998,399.24,500,476.0,0,BMR,0
1,0,49.9914,400.45,494,470.24,0,ALB,0
1,0,49.9904,400.27,506,482.76,0,TLC,0
1,0,50.0027,399.98,488,472.48,0,TGJ,0
1,0,49.991,400.3,510,485.6,1,BUC,0
1,0,50.0057,399.58,493,476.28,1,CLJ,0
1,0,49.9918,400.14,513,495.48,1,SUC,0
1,0,50.0032,400.56,503,486.88,1,CST,0
1,0,50.0068,400.08,507,487.72,1,TMS,0
1,0,50.0017,400.77,507,482.72,1,PLO,0
1,0,50.0069,399.91,505,479.8,1,CRV,0
1,0,50.0083,400.02,502,478.92,1,BRL,0
1,0,50.0055,399.7,503,484.88,1,BIS,0
1,0,50.0004,399.84,494,475.24,1,ORD,0
1,0,49.9942,400.07,489,466.44,1,PIT,0
1,0,50.0013,400.17,494,478.24,1,BCU,0
1,0,50.0062,400.85,506,483.76,1,SLT,0
1,0,50.0063,399.04,501,479.96,1,DRO,0
1,0,49.9955,399.74,502,479.92,1,CAL,0
1,0,49.9989,400.57,514,495.44,1,GAL,0
1,0,50.0,399.01,491,469.36,1,SBU,0
1,0,49.9919,399.2,485,466.6,1,TGM,0
1,0,50.0073,399.17,512,488.52,1,CRN,0
1,0,50.0075,399.07,499,480.04,1,PFR,0
