status,weather,frecventa_hz,tensiune_kv,flux_intrare_mw,flux_iesire_mw,timestamp,nivel_severitate
1,0,49.9931,400.83,511,493.56,0,0
1,0,50.0098,399.36,498,476.08,1,0
1,0,50.0069,400.11,485,461.6,2,0
1,0,50.0085,399.21,485,461.6,3,0
1,0,50.0057,400.0,502,483.92,4,0
1,0,49.9925,399.2,507,483.72,5,0
1,0,50.0037,400.54,508,486.68,6,0
1,0,50.0051,399.39,512,488.52,7,0
1,0,50.0033,399.19,514,495.44,8,0
1,1,49.9568,395.61,503,478.88,9,1
1,1,49.9637,396.2,504,483.84,10,1
1,1,49.9497,394.82,510,487.6,11,1
1,1,49.9628,394.99,493,477.28,12,1
1,1,49.9415,394.13,490,471.4,13,1
1,1,49.9439,394.7,495,472.2,14,1
1,1,49.9519,396.47,488,463.48,15,1
1,1,49.9451,395.59,513,489.48,16,1
1,1,49.9649,394.62,512,491.52,17,1
1,1,49.9664,396.94,497,474.12,18,1
1,1,49.9646,394.04,500,484.0,19,1
1,1,49.944,394.67,486,467.56,20,1
1,1,49.9459,395.2,492,469.32,21,1
1,1,49.9688,394.95,489,465.44,22,1
1,1,49.9546,394.75,487,464.52,23,1
1,1,49.9482,394.38,488,472.48,24,1
1,1,49.9491,396.61,498,474.08,25,1
1,1,49.9471,395.21,496,472.16,26,1
1,1,49.9599,394.38,504,479.84,27,1
1,1,49.9406,396.42,507,483.72,28,1
1,1,49.9668,396.45,505,483.8,29,1
1,1,49.9455,394.78,487,465.52,30,1
1,1,49.9426,394.93,513,495.48,31,1
1,1,49.9524,395.63,506,488.76,32,1
1,1,49.9536,396.35,507,487.72,33,1
1,1,49.9592,396.69,491,466.36,34,1
1,1,49.9635,396.8,507,490.72,35,1
1,1,49.9529,396.92,486,464.56,36,1
1,1,49.9592,396.88,490,474.4,37,1
1,1,49.9411,395.95,498,479.08,38,1
1,1,49.9597,394.13,508,491.68,39,1
1,1,49.942,395.58,506,485.76,40,1
1,1,49.9497,394.1,492,469.32,41,1
1,1,49.9583,395.65,511,488.56,42,1
1,0,49.9925,399.14,494,478.24,43,0
1,0,49.9977,399.3,488,466.48,44,0
1,0,49.9964,400.52,492,470.32,45,0
1,0,50.0059,399.56,498,481.08,46,0
1,0,50.004,399.88,507,484.72,47,0
1,0,50.0077,399.28,491,466.36,48,0
1,0,50.0092,400.0,497,478.12,49,0
1,0,50.0077,399.43,493,472.28,50,0
1,0,50.0047,399.26,500,481.0,51,0
1,0,49.998,400.74,510,484.6,52,0
1,0,49.998,399.19,501,476.96,53,0
1,0,50.0061,400.72,511,490.56,54,0
1,0,49.9956,400.39,495,475.2,55,0
1,0,50.0019,400.27,488,468.48,56,0
1,0,50.0086,399.36,499,478.04,57,0
1,0,49.9992,400.75,486,465.56,58,0
1,0,50.0008,400.75,502,480.92,59,0
1,0,50.0036,400.67,489,465.44,60,0
1,0,50.0029,399.4,487,466.52,61,0
1,0,49.9995,400.05,492,474.32,62,0
1,0,49.9987,399.7,499,477.04,63,0
1,0,49.9948,399.72,510,484.6,64,0
1,0,49.9919,400.57,504,482.84,65,0
1,0,49.994,399.79,497,472.12,66,0
1,0,50.005,399.55,499,477.04,67,0
1,0,50.0021,399.59,488,470.48,68,0
1,0,49.9905,399.85,486,465.56,69,0
1,0,49.9931,399.53,506,489.76,70,0
1,0,50.0047,400.94,500,478.0,71,0
1,0,49.996,400.23,488,468.48,72,0
1,0,50.0064,400.56,492,471.32,73,0
1,0,49.9956,399.04,508,491.68,74,0
1,0,50.0032,400.42,512,489.52,75,0
1,0,50.0009,400.26,508,482.68,76,0
1,0,50.0067,399.86,506,487.76,77,0
1,0,49.9987,400.36,503,479.88,78,0
1,0,50.0006,400.6,489,464.44,79,0
1,0,50.0056,400.48,493,474.28,80,0
1,0,49.9976,399.78,485,467.6,81,0
1,0,50.0019,400.27,503,477.88,82,0
1,0,50.0036,400.15,492,473.32,83,0
1,0,49.9906,399.92,498,474.08,84,0
1,0,49.9994,400.79,502,484.92,85,0
1,0,49.9901,399.5,489,468.44,86,0
1,0,49.9981,400.29,504,483.84,87,0
1,0,49.9924,399.96,489,471.44,88,0
1,0,50.0012,399.07,506,485.76,89,0
1,0,49.9905,399.49,500,480.0,90,0
1,0,50.0081,399.28,495,476.2,91,0
1,0,49.9916,399.92,501,482.96,92,0
1,0,50.0013,399.49,486,467.56,93,0
1,0,49.9901,400.09,504,484.84,94,0
1,0,49.991,399.68,503,482.88,95,0
1,0,49.9919,399.67,505,488.8,96,0
1,0,49.9987,400.55,487,466.52,97,0
1,0,49.9961,399.64,493,476.28,98,0
1,0,49.9902,399.9,491,473.36,99,0
1,0,49.9967,399.18,485,468.6,100,0
1,0,50.004,400.26,494,474.24,101,0
1,0,49.9928,399.92,506,485.76,102,0
1,0,50.0052,400.75,495,478.2,103,0
