status,weather,frecventa_hz,tensiune_kv,flux_intrare_mw,flux_iesire_mw,nivel_severitate
ON,Senin,50.0,400.0,493,454,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Senin,50.0,400.0,484,463,0
ON,Senin,50.0,400.0,515,480,0
ON,Senin,50.0,400.0,505,492,0
ON,Senin,50.0,400.0,488,502,0
ON,Senin,50.0,400.0,494,484,0
ON,Furtuna,50.0436,400.0,486,463,2
ON,Senin,50.0,400.0,512,461,0
ON,Senin,50.0,400.0,480,473,0
ON,Furtuna,50.0141,400.0,506,505,2
ON,Senin,50.0,400.0,498,472,0
ON,Viscol,50.1013,390.0,494,460,3
ON,Senin,50.0,400.0,510,450,0
OFF,Inundatie,0.0,0.0,0,0,5
ON,Viscol,50.0212,390.0,481,499,3
ON,Senin,50.0,400.0,515,458,0
ON,Senin,49.9982,400.0,497,450,1
ON,Senin,50.0,400.0,509,471,0
ON,Senin,50.0169,400.0,490,485,1
ON,Senin,50.016,400.0,494,459,1
ON,Senin,50.0,400.0,495,464,0
ON,Tornada,50.3496,350.0,507,450,4
ON,Senin,50.0,400.0,487,451,0
ON,Furtuna,49.994,400.0,518,500,2
ON,Senin,50.0,400.0,501,455,0
ON,Tornada,50.0061,350.0,519,486,4
ON,Senin,50.0,400.0,480,458,0
ON,Senin,50.0,400.0,487,454,0
ON,Senin,50.0,400.0,491,465,0
ON,Senin,50.0,400.0,502,480,0
ON,Senin,50.0,400.0,502,509,0
ON,Furtuna,49.9571,400.0,516,502,2
ON,Senin,50.0,400.0,510,468,0
ON,Senin,50.0,400.0,494,453,0
ON,Senin,50.0,400.0,512,459,0
ON,Senin,50.0,400.0,503,505,0
ON,Senin,50.0168,400.0,508,496,1
ON,Senin,50.0,400.0,481,485,0
ON,Senin,50.0,400.0,514,469,0
ON,Viscol,50.1484,390.0,482,461,3
ON,Viscol,50.1411,390.0,484,481,3
ON,Senin,50.0087,400.0,487,452,1
ON,Senin,50.0011,400.0,495,453,1
ON,Senin,50.0,400.0,486,507,0
